caldt,vwretd,vwretx
1990-10-04,0.001654,0.001623
1990-10-05,-0.004250,-0.004320
1990-10-08,0.005437,0.005437
1990-10-09,-0.024176,-0.024316
1990-10-10,-0.015102,-0.015113
1990-10-11,-0.017224,-0.017241
1990-10-12,0.012246,0.012224
1990-10-15,0.008453,0.008228
1990-10-16,-0.013140,-0.013189
1990-10-17,0.000052,0.000018
1990-10-18,0.021594,0.021577
1990-10-19,0.017335,0.017287
1990-10-22,0.007851,0.007718
1990-10-23,-0.004400,-0.004428
1990-10-24,0.000212,0.000175
1990-10-25,-0.005624,-0.005752
1990-10-26,-0.015955,-0.016184
1990-10-29,-0.008941,-0.009161
1990-10-30,0.004255,0.004014
1990-10-31,0.000644,0.000617
1990-11-01,0.008037,0.007885
1990-11-02,0.014963,0.014853
1990-11-05,0.009563,0.008517
1990-11-06,-0.006524,-0.006716
1990-11-07,-0.015161,-0.015247
1990-11-08,0.004051,0.003532
1990-11-09,0.017564,0.017092
1990-11-12,0.018473,0.018473
1990-11-13,-0.002922,-0.003056
1990-11-14,0.007987,0.007823
1990-11-15,-0.008505,-0.008556
1990-11-16,-0.000187,-0.000460
1990-11-19,0.005659,0.005609
1990-11-20,-0.010211,-0.010237
1990-11-21,0.001002,0.000939
1990-11-23,-0.001948,-0.001982
1990-11-26,0.003071,0.002684
1990-11-27,0.006739,0.006398
1990-11-28,0.000746,0.000704
1990-11-29,-0.003503,-0.003561
1990-11-30,0.015778,0.015766
1990-12-03,0.006589,0.005984
1990-12-04,0.007184,0.006910
1990-12-05,0.011524,0.011500
1990-12-06,-0.001445,-0.001507
1990-12-07,-0.003235,-0.003279
1990-12-10,0.002372,0.002020
1990-12-11,-0.005682,-0.006021
1990-12-12,0.009204,0.009190
1990-12-13,-0.000649,-0.000701
1990-12-14,-0.007353,-0.007410
1990-12-17,-0.003769,-0.003844
1990-12-18,0.011516,0.011453
1990-12-19,0.001051,0.000994
1990-12-20,0.000604,0.000574
1990-12-21,0.003009,0.002947
1990-12-24,-0.003690,-0.004389
1990-12-26,0.002638,0.002552
1990-12-27,-0.005724,-0.005746
1990-12-28,0.000360,0.000107
1990-12-31,0.004980,0.004968
1991-01-02,-0.008813,-0.008846
1991-01-03,-0.011820,-0.011836
1991-01-04,-0.002309,-0.002721
1991-01-07,-0.016346,-0.016542
1991-01-08,-0.002727,-0.002744
1991-01-09,-0.009093,-0.009212
1991-01-10,0.009429,0.009409
1991-01-11,0.000868,0.000842
1991-01-14,-0.009508,-0.009770
1991-01-15,0.003183,0.003155
1991-01-16,0.009464,0.009431
1991-01-17,0.033074,0.033072
1991-01-18,0.009020,0.008891
1991-01-21,-0.000752,-0.000752
1991-01-22,-0.005899,-0.005941
1991-01-23,0.005906,0.005878
1991-01-24,0.014341,0.014215
1991-01-25,0.004249,0.004152
1991-01-28,0.001523,0.001314
1991-01-29,0.001066,0.000849
1991-01-30,0.014963,0.014881
1991-01-31,0.009568,0.009546
1991-02-01,0.000271,0.000210
1991-02-04,0.015715,0.015103
1991-02-05,0.010277,0.009838
1991-02-06,0.017859,0.017828
1991-02-07,-0.003433,-0.003660
1991-02-08,0.006692,0.006558
1991-02-11,0.023406,0.022904
1991-02-12,-0.005439,-0.005568
1991-02-13,0.008805,0.008627
1991-02-14,-0.011131,-0.011162
1991-02-15,0.011687,0.011421
1991-02-19,0.001523,0.001428
1991-02-20,-0.010218,-0.010246
1991-02-21,-0.000246,-0.000278
1991-02-22,0.002227,0.001996
1991-02-25,0.004392,0.004076
1991-02-26,-0.010480,-0.010653
1991-02-27,0.011476,0.011292
1991-02-28,0.000805,0.000631
1991-03-01,0.008371,0.008298
1991-03-04,0.000792,0.000434
1991-03-05,0.018720,0.018588
1991-03-06,-0.000997,-0.001051
1991-03-07,0.000183,0.000112
1991-03-08,-0.001836,-0.001998
1991-03-11,-0.005634,-0.006020
1991-03-12,-0.008146,-0.008229
1991-03-13,0.010826,0.010782
1991-03-14,-0.001446,-0.001492
1991-03-15,-0.002086,-0.002091
1991-03-18,-0.002448,-0.002485
1991-03-19,-0.012276,-0.012350
1991-03-20,0.003676,0.003665
1991-03-21,-0.002437,-0.002468
1991-03-22,0.001576,0.001132
1991-03-25,0.006500,0.006364
1991-03-26,0.016058,0.016055
1991-03-27,0.000049,0.000024
1991-03-28,-0.000331,-0.000339
1991-04-01,-0.007887,-0.008127
1991-04-02,0.019315,0.019279
1991-04-03,0.001303,0.001234
1991-04-04,0.003189,0.002814
1991-04-05,-0.008957,-0.008982
1991-04-08,0.005881,0.005831
1991-04-09,-0.010069,-0.010193
1991-04-10,-0.001837,-0.001849
1991-04-11,0.011522,0.011511
1991-04-12,0.006035,0.006023
1991-04-15,0.001968,0.001729
1991-04-16,0.014233,0.014209
1991-04-17,0.007752,0.007724
1991-04-18,-0.004857,-0.004872
1991-04-19,-0.009834,-0.009870
1991-04-22,-0.009336,-0.009434
1991-04-23,0.001777,0.001760
1991-04-24,0.002895,0.002780
1991-04-25,-0.007303,-0.007374
1991-04-26,-0.001376,-0.001451
1991-04-29,-0.012574,-0.012769
1991-04-30,0.002211,0.001980
1991-05-01,0.011984,0.011959
1991-05-02,0.001922,0.001880
1991-05-03,0.000813,0.000716
1991-05-06,-0.001580,-0.002123
1991-05-07,-0.005006,-0.005377
1991-05-08,0.002347,0.002323
1991-05-09,0.011488,0.011049
1991-05-10,-0.015675,-0.015818
1991-05-13,0.001862,0.001554
1991-05-14,-0.011850,-0.011936
1991-05-15,-0.009834,-0.009936
1991-05-16,0.009211,0.009065
1991-05-17,-0.000181,-0.000186
1991-05-20,-0.000067,-0.000281
1991-05-21,0.007450,0.007355
1991-05-22,0.002428,0.002395
1991-05-23,-0.001313,-0.001342
1991-05-24,0.006375,0.006063
1991-05-28,0.010607,0.010325
1991-05-29,0.002654,0.002624
1991-05-30,0.010109,0.010047
1991-05-31,0.007133,0.006996
1991-06-03,-0.002471,-0.002775
1991-06-04,-0.000321,-0.000487
1991-06-05,-0.005235,-0.005258
1991-06-06,-0.003385,-0.003446
1991-06-07,-0.009041,-0.009058
1991-06-10,-0.002186,-0.002591
1991-06-11,0.004424,0.004226
1991-06-12,-0.010461,-0.010485
1991-06-13,0.002134,0.002065
1991-06-14,0.010401,0.010368
1991-06-17,-0.003775,-0.003821
1991-06-18,-0.003599,-0.003690
1991-06-19,-0.009258,-0.009269
1991-06-20,0.000214,0.000204
1991-06-21,0.004215,0.004213
1991-06-24,-0.016578,-0.017083
1991-06-25,-0.001745,-0.001809
1991-06-26,0.001376,0.001353
1991-06-27,0.006771,0.006757
1991-06-28,-0.006103,-0.006332
1991-07-01,0.015764,0.015718
1991-07-02,-0.001009,-0.001019
1991-07-03,-0.009230,-0.009572
1991-07-05,0.001917,0.001783
1991-07-08,0.008084,0.008041
1991-07-09,-0.000854,-0.000992
1991-07-10,0.000404,0.000402
1991-07-11,0.002929,0.002922
1991-07-12,0.007602,0.007587
1991-07-15,0.006161,0.005993
1991-07-16,-0.001752,-0.001793
1991-07-17,-0.000131,-0.000169
1991-07-18,0.009041,0.009037
1991-07-19,-0.001929,-0.001960
1991-07-22,-0.003425,-0.003508
1991-07-23,-0.008420,-0.008453
1991-07-24,-0.002706,-0.002731
1991-07-25,0.005378,0.005277
1991-07-26,0.000878,0.000789
1991-07-29,0.004775,0.004600
1991-07-30,0.008723,0.008508
1991-07-31,0.003968,0.003954
1991-08-01,-0.000973,-0.001022
1991-08-02,0.000808,0.000687
1991-08-05,-0.004846,-0.005165
1991-08-06,0.011969,0.011596
1991-08-07,0.001144,0.000853
1991-08-08,-0.001488,-0.001618
1991-08-09,-0.003925,-0.004246
1991-08-12,0.001978,0.001686
1991-08-13,0.004441,0.004395
1991-08-14,0.002259,0.002133
1991-08-15,-0.001346,-0.001400
1991-08-16,-0.007974,-0.008094
1991-08-19,-0.023036,-0.023216
1991-08-20,0.007127,0.007101
1991-08-21,0.027107,0.027082
1991-08-22,0.002229,0.002196
1991-08-23,0.006183,0.006150
1991-08-26,-0.000292,-0.000631
1991-08-27,-0.000906,-0.001122
1991-08-28,0.008422,0.008287
1991-08-29,0.000028,-0.000002
1991-08-30,-0.001435,-0.001679
1991-09-03,-0.007347,-0.007472
1991-09-04,-0.005382,-0.005499
1991-09-05,-0.002508,-0.002537
1991-09-06,0.000119,0.000096
1991-09-09,-0.000995,-0.001404
1991-09-10,-0.010083,-0.010425
1991-09-11,0.001800,0.001789
1991-09-12,0.006593,0.006568
1991-09-13,-0.008549,-0.008578
1991-09-16,0.004197,0.004124
1991-09-17,-0.000361,-0.000438
1991-09-18,0.003527,0.003517
1991-09-19,0.003243,0.003222
1991-09-20,0.002261,0.002127
1991-09-23,-0.004277,-0.004318
1991-09-24,0.004591,0.004223
1991-09-25,-0.001444,-0.001508
1991-09-26,-0.000196,-0.000201
1991-09-27,-0.001547,-0.001553
1991-09-30,0.005512,0.005292
1991-10-01,0.002719,0.002673
1991-10-02,-0.002361,-0.002373
1991-10-03,-0.008870,-0.008888
1991-10-04,-0.005721,-0.006106
1991-10-07,-0.005612,-0.005698
1991-10-08,0.002624,0.002502
1991-10-09,-0.008432,-0.008439
1991-10-10,0.007061,0.007049
1991-10-11,0.003056,0.002894
1991-10-14,0.011955,0.011955
1991-10-15,0.011922,0.011867
1991-10-16,0.006814,0.006801
1991-10-17,-0.002361,-0.002389
1991-10-18,0.001829,0.001817
1991-10-21,-0.005529,-0.005609
1991-10-22,-0.003832,-0.003860
1991-10-23,-0.000460,-0.000463
1991-10-24,-0.007669,-0.007672
1991-10-25,-0.002843,-0.002951
1991-10-28,0.011439,0.011232
1991-10-29,0.005907,0.005713
1991-10-30,0.005325,0.005310
1991-10-31,0.001294,0.001285
1991-11-01,-0.002711,-0.002755
1991-11-04,-0.002984,-0.003648
1991-11-05,-0.002225,-0.002610
1991-11-06,0.002803,0.002616
1991-11-07,0.009026,0.008907
1991-11-08,0.000282,-0.000207
1991-11-11,0.001565,0.001565
1991-11-12,0.008718,0.008656
1991-11-13,0.001393,0.001312
1991-11-14,-0.000983,-0.001073
1991-11-15,-0.034069,-0.034083
1991-11-18,0.005141,0.004840
1991-11-19,-0.015426,-0.015464
1991-11-20,-0.001212,-0.001270
1991-11-21,0.004238,0.004211
1991-11-22,-0.009163,-0.009463
1991-11-25,-0.003025,-0.003268
1991-11-26,0.004763,0.004741
1991-11-27,-0.001972,-0.002094
1991-11-29,-0.001413,-0.001482
1991-12-02,0.013489,0.013129
1991-12-03,0.000811,0.000622
1991-12-04,-0.001293,-0.001409
1991-12-05,-0.005039,-0.005095
1991-12-06,0.003774,0.003750
1991-12-09,-0.002034,-0.002312
1991-12-10,-0.001235,-0.001548
1991-12-11,-0.002004,-0.002021
1991-12-12,0.008720,0.008691
1991-12-13,0.007073,0.007047
1991-12-16,0.001531,0.001438
1991-12-17,-0.004858,-0.004974
1991-12-18,0.001109,0.001095
1991-12-19,-0.003845,-0.003864
1991-12-20,0.009688,0.009635
1991-12-23,0.022189,0.022163
1991-12-24,0.008170,0.007613
1991-12-26,0.013938,0.013877
1991-12-27,0.006093,0.005881
1991-12-30,0.020303,0.020295
1991-12-31,0.006064,0.006061
1992-01-02,-0.000592,-0.000618
1992-01-03,0.005579,0.005566
1992-01-06,0.000018,-0.000331
1992-01-07,0.000525,0.000476
1992-01-08,0.003954,0.003946
1992-01-09,0.002775,0.002618
1992-01-10,-0.005939,-0.005956
1992-01-13,-0.000875,-0.000930
1992-01-14,0.013024,0.012994
1992-01-15,0.002916,0.002863
1992-01-16,-0.005337,-0.005378
1992-01-17,0.001255,0.001191
1992-01-20,-0.005989,-0.005989
1992-01-21,-0.011051,-0.011088
1992-01-22,0.013444,0.013431
1992-01-23,-0.004011,-0.004023
1992-01-24,0.001264,0.001253
1992-01-27,-0.001468,-0.001707
1992-01-28,0.000131,0.000008
1992-01-29,-0.009785,-0.009842
1992-01-30,0.004172,0.004156
1992-01-31,-0.004810,-0.004851
